Site,SA,SA_binary,date,year,Julian_day,shrub_biomass,drainage_class,canopy_cover,basal_area
EO_1,EO,0,2018-06-05,2018,156,5.83,upland,38.7,31.3
EO_10,EO,0,2018-06-07,2018,158,10.34,upland,70.9,34.4
EO_100,EO,0,2018-08-08,2018,220,198.77,lowland,0,1
EO_101,EO,0,2018-08-09,2018,221,15.27,upland,86.4,21.4
EO_102,EO,0,2018-08-09,2018,221,1.47,upland,72.8,35.9
EO_103,EO,0,2018-08-09,2018,221,292.84,lowland,21.3,13.7
EO_104,EO,0,2018-08-10,2018,222,47.03,upland,57.9,33.6
EO_105,EO,0,2018-08-10,2018,222,245,lowland,20,12.2
EO_106,EO,0,2018-08-14,2018,226,34.27,lowland,14.4,3.1
EO_107,EO,0,2018-08-14,2018,226,0.52,upland,92.8,27.1
EO_108,EO,0,2018-08-15,2018,227,29.1,upland,15.3,7.4
EO_109,EO,0,2018-08-15,2018,227,3.61,upland,67.7,16
EO_11,EO,0,2018-06-08,2018,159,16.78,upland,84.3,31.3
EO_110,EO,0,2018-08-16,2018,228,130.08,lowland,25.3,6.9
EO_111,EO,0,2018-08-16,2018,228,73.78,upland,87.7,15.6
EO_112,EO,0,2018-08-17,2018,229,49.5,lowland,18.5,3.2
EO_113,EO,0,2018-08-17,2018,229,237.37,upland,62.5,19.8
EO_114,EO,0,2018-08-18,2018,230,75.06,upland,69.5,42.7
EO_115,EO,0,2018-08-18,2018,230,72.42,lowland,80.9,32.1
EO_116,EO,0,2018-08-20,2018,232,28.77,lowland,21.5,17.9
EO_117,EO,0,2018-08-20,2018,232,392.83,lowland,20,12.6
EO_118,EO,0,2018-08-21,2018,233,77.33,upland,64.4,27.5
EO_119,EO,0,2018-08-21,2018,233,40.96,lowland,35.7,32.1
EO_12,EO,0,2018-06-08,2018,159,50.71,upland,59.9,7.3
EO_120,EO,0,2018-08-22,2018,234,334.58,lowland,0,0.6
EO_121,EO,0,2018-08-22,2018,234,87.68,upland,53.7,20.6
EO_122,EO,0,2018-08-23,2018,235,238.42,lowland,41.5,1.3
EO_123,EO,0,2018-08-24,2018,236,129.94,lowland,39.2,27.1
EO_124,EO,0,2018-08-25,2018,237,46.2,upland,84.3,32.8
EO_126,EO,0,2018-08-26,2018,238,819.53,upland,0,0.6
EO_127,EO,0,2018-08-27,2018,239,270.35,upland,0.1,2.5
EO_128,EO,0,2018-08-27,2018,239,25.84,upland,43.5,26.3
EO_14,EO,0,2018-06-09,2018,160,25.12,lowland,41.1,25.2
EO_16,EO,0,2018-06-09,2018,160,1.44,lowland,76.9,24.8
EO_18,EO,0,2018-06-10,2018,161,8.92,upland,71.9,11.1
EO_19,EO,0,2018-06-10,2018,161,4.1,upland,50.1,35.1
EO_2,EO,0,2018-06-05,2018,156,4.42,lowland,28,12.2
EO_20,EO,0,2018-06-10,2018,161,23.2,lowland,12.1,11.3
EO_21,EO,0,2018-06-11,2018,162,1.96,upland,84.7,16.8
EO_22,EO,0,2018-06-11,2018,162,21.64,upland,43.6,13.2
EO_23,EO,0,2018-06-11,2018,162,34.23,upland,37.1,4.2
EO_25,EO,0,2018-06-12,2018,163,10.73,upland,88.7,16.4
EO_26,EO,0,2018-06-12,2018,163,141.75,upland,0,0.2
EO_28,EO,0,2018-06-14,2018,165,29.62,lowland,26.9,13.4
EO_3,EO,0,2018-06-05,2018,156,2.61,upland,41.3,26.6
EO_30,EO,0,2018-06-15,2018,166,16.27,upland,81.1,30.5
EO_31,EO,0,2018-06-15,2018,166,5.61,lowland,25.1,17.9
EO_32,EO,0,2018-06-16,2018,167,58.63,upland,95.6,29.8
EO_33,EO,0,2018-06-16,2018,167,19.19,upland,62.1,38.2
EO_34,EO,0,2018-06-16,2018,167,17.34,upland,33.7,19.5
EO_35,EO,0,2018-06-17,2018,168,9.66,upland,98.9,18.3
EO_36,EO,0,2018-06-17,2018,168,25.21,upland,77.4,42.7
EO_37,EO,0,2018-06-17,2018,168,2.75,lowland,74.1,32.1
EO_39,EO,0,2018-06-19,2018,170,51.1,upland,43.5,30.5
EO_40,EO,0,2018-06-19,2018,170,43.01,lowland,16,16.8
EO_41,EO,0,2018-06-19,2018,170,14.17,upland,71.5,29.8
EO_42,EO,0,2018-06-20,2018,171,436.18,upland,0,2.5
EO_44,EO,0,2018-06-29,2018,180,191.33,upland,1.2,4.8
EO_45,EO,0,2018-06-29,2018,180,2.68,lowland,82.3,33.9
EO_46,EO,0,2018-06-30,2018,181,51.29,upland,85.3,27.5
EO_47,EO,0,2018-06-30,2018,181,171.93,upland,0,0.2
EO_48,EO,0,2018-06-30,2018,181,1.59,upland,99.3,20.6
EO_49,EO,0,2018-06-30,2018,181,306.17,upland,0,2.3
EO_5,EO,0,2018-06-06,2018,157,30.52,lowland,54.3,31.3
EO_50,EO,0,2018-07-01,2018,182,140.5,upland,17,10.3
EO_51,EO,0,2018-07-03,2018,184,61.27,upland,99.9,23.7
EO_52,EO,0,2018-07-03,2018,184,93.05,upland,93.5,29.8
EO_53,EO,0,2018-07-04,2018,185,62.35,lowland,19.2,12.4
EO_55,EO,0,2018-07-04,2018,185,9.62,upland,89.6,40.5
EO_56,EO,0,2018-07-04,2018,185,21.33,lowland,62.8,45.8
EO_57,EO,0,2018-07-05,2018,186,79.37,upland,91.5,32.8
EO_58,EO,0,2018-07-05,2018,186,72.5,upland,53.3,23.3
EO_59,EO,0,2018-07-06,2018,187,48.62,upland,97.6,36.6
EO_60,EO,0,2018-07-06,2018,187,61.5,upland,42.9,11.5
EO_61,EO,0,2018-07-07,2018,188,283.44,lowland,58.4,11.1
EO_62,EO,0,2018-07-07,2018,188,112.84,upland,44.8,32.1
EO_63,EO,0,2018-07-08,2018,189,94.52,lowland,19.2,5
EO_64,EO,0,2018-07-08,2018,189,29.18,lowland,71.5,38.9
EO_66,EO,0,2018-07-09,2018,190,3.18,lowland,75.2,42
EO_67,EO,0,2018-07-10,2018,191,45.77,lowland,32.8,17.2
EO_68,EO,0,2018-07-10,2018,191,239.83,upland,21.7,4.2
EO_69,EO,0,2018-07-18,2018,199,358.12,upland,0,1.5
EO_70,EO,0,2018-07-18,2018,199,241.93,upland,0,0.6
EO_71,EO,0,2018-07-19,2018,200,256.05,upland,53.2,6.9
EO_72,EO,0,2018-07-22,2018,203,14.68,upland,57.3,32.1
EO_73,EO,0,2018-07-22,2018,203,253.33,upland,93.3,15.3
EO_74,EO,0,2018-07-23,2018,204,198.84,lowland,42.4,13.4
EO_75,EO,0,2018-07-23,2018,204,375.18,lowland,19.5,9.7
EO_76,EO,0,2018-07-25,2018,206,120.35,upland,99.5,18.7
EO_77,EO,0,2018-07-25,2018,206,29.33,lowland,38.9,21
EO_79,EO,0,2018-07-26,2018,207,69.18,lowland,11.5,8
EO_8,EO,0,2018-06-07,2018,158,54.68,lowland,11.7,10.7
EO_80,EO,0,2018-07-27,2018,208,281.58,upland,0,0
EO_81,EO,0,2018-07-27,2018,208,71.09,lowland,10.8,12.6
EO_82,EO,0,2018-07-27,2018,208,100.42,lowland,1.9,1.9
EO_83,EO,0,2018-07-28,2018,209,74.87,upland,95.7,39.7
EO_84,EO,0,2018-07-28,2018,209,35.83,upland,51.7,27.5
EO_85,EO,0,2018-07-29,2018,210,140.17,lowland,0,0.4
EO_87,EO,0,2018-07-29,2018,210,70.83,upland,51.7,22.1
EO_88,EO,0,2018-07-30,2018,211,467.5,upland,0,0
EO_89,EO,0,2018-08-01,2018,213,796.12,upland,10.5,0.2
EO_9,EO,0,2018-06-07,2018,158,86.88,upland,77.9,9.4
EO_90,EO,0,2018-08-01,2018,213,149.39,upland,83.3,28.6
EO_91,EO,0,2018-08-02,2018,214,542.68,upland,2,2.7
EO_92,EO,0,2018-08-02,2018,214,292.85,upland,95.5,33.6
EO_94,EO,0,2018-08-03,2018,215,13.33,upland,62.4,33.2
EO_95,EO,0,2018-08-04,2018,216,152.84,upland,0,0.2
EO_96,EO,0,2018-08-04,2018,216,198.26,upland,52.5,29.8
EO_98,EO,0,2018-08-07,2018,219,1481.72,upland,11.3,2.9
EO_99,EO,0,2018-08-08,2018,220,110.08,upland,68,22.1
WO_1,WO,1,2017-06-15,2017,166,4.43,upland,49.2,33.4
WO_10,WO,1,2017-06-22,2017,173,280.1,upland,4.3,2.5
WO_100,WO,1,2017-08-05,2017,217,44.83,lowland,68.9,19.8
WO_101,WO,1,2017-08-05,2017,217,65.67,upland,75.6,45
WO_102,WO,1,2017-08-06,2017,218,189.93,upland,44.3,11.6
WO_103,WO,1,2017-08-06,2017,218,3.76,upland,70.5,32.8
WO_104,WO,1,2017-08-06,2017,218,74.42,lowland,48.8,21.8
WO_105,WO,1,2017-08-06,2017,218,180.75,upland,60,30.2
WO_106,WO,1,2017-08-06,2017,218,53.54,lowland,78.5,23.3
WO_107,WO,1,2017-08-06,2017,218,265.51,upland,80.7,13.4
WO_108,WO,1,2017-08-07,2017,219,517.27,upland,10.5,5.7
WO_109,WO,1,2017-08-07,2017,219,108.42,upland,58.4,15.6
WO_11,WO,1,2017-06-23,2017,174,145.72,upland,4.4,1.9
WO_110,WO,1,2017-08-07,2017,219,26.19,lowland,80.1,45
WO_111,WO,1,2017-08-07,2017,219,35.69,upland,94.3,40.5
WO_112,WO,1,2017-08-08,2017,220,23.35,lowland,71.5,18.7
WO_113,WO,1,2017-08-08,2017,220,0.1,upland,61.8,26
WO_114,WO,1,2017-08-11,2017,223,87.01,upland,43.7,16.7
WO_115,WO,1,2017-08-11,2017,223,71.01,upland,50.9,14.9
WO_116,WO,1,2017-08-12,2017,224,586.34,upland,1.1,0.4
WO_117,WO,1,2017-08-12,2017,224,441.32,upland,0.4,0.3
WO_118,WO,1,2017-08-13,2017,225,514.59,upland,42.9,9.6
WO_119,WO,1,2017-08-14,2017,226,532.76,lowland,0,0.3
WO_12,WO,1,2017-06-23,2017,174,48.43,lowland,15.7,8.8
WO_120,WO,1,2017-08-15,2017,227,768.5,upland,0,0.3
WO_121,WO,1,2017-08-16,2017,228,202.27,upland,81.1,12.6
WO_122,WO,1,2017-08-16,2017,228,329.38,upland,73,15.5
WO_123,WO,1,2017-08-18,2017,230,389.17,lowland,0,0.2
WO_124,WO,1,2017-08-18,2017,230,380.42,upland,33.2,9.2
WO_125,WO,1,2017-08-18,2017,230,58.14,upland,50.6,9.7
WO_126,WO,1,2017-08-20,2017,232,467.3,upland,65.2,11.8
WO_127,WO,1,2017-08-21,2017,233,212.25,upland,68.7,24
WO_128,WO,1,2017-08-21,2017,233,1567.7,lowland,22.4,0
WO_129,WO,1,2017-08-21,2017,233,45.34,upland,75.6,17.9
WO_13,WO,1,2017-06-24,2017,175,233.29,upland,79.6,15.6
WO_130,WO,1,2017-08-25,2017,237,318.5,lowland,0,0
WO_132,WO,1,2017-08-26,2017,238,274.13,upland,81.8,30.6
WO_133,WO,1,2017-08-26,2017,238,122.52,upland,61.9,31.8
WO_134,WO,1,2017-08-26,2017,238,798.83,upland,12.3,1.9
WO_135,WO,1,2017-08-27,2017,239,582.01,upland,5.2,0.7
WO_136,WO,1,2017-08-27,2017,239,171.19,upland,88.3,23.5
WO_137,WO,1,2017-08-28,2017,240,149.31,upland,53.8,18.6
WO_138,WO,1,2017-08-30,2017,242,832.19,upland,0,0.4
WO_139,WO,1,2017-08-30,2017,242,544.38,upland,0,0.7
WO_14,WO,1,2017-06-24,2017,175,140.2,upland,58.8,15.6
WO_140,WO,1,2017-08-31,2017,243,59.83,lowland,49.7,23.3
WO_141,WO,1,2017-09-01,2017,244,363.09,lowland,5.6,2.1
WO_142,WO,1,2017-09-01,2017,244,224,upland,91.9,20.6
WO_143,WO,1,2017-09-02,2017,245,31.42,upland,69.2,29
WO_144,WO,1,2017-09-02,2017,245,75.94,upland,78.5,28.2
WO_145,WO,1,2017-09-02,2017,245,568.27,upland,0,0.2
WO_146,WO,1,2017-09-03,2017,246,58.93,upland,53.7,20.6
WO_147,WO,1,2017-09-04,2017,247,380.43,upland,61.2,13.2
WO_148,WO,1,2017-09-04,2017,247,242.51,upland,87.3,26
WO_149,WO,1,2017-09-05,2017,248,127.01,lowland,0,0
WO_150,WO,1,2017-09-06,2017,249,105.09,upland,61.6,21.2
WO_151,WO,1,2017-09-10,2017,253,82.27,upland,74.2,16.6
WO_152,WO,1,2017-09-10,2017,253,75.83,upland,75.5,36.1
WO_153,WO,1,2017-09-11,2017,254,15.21,lowland,35.7,15
WO_154,WO,1,2017-09-11,2017,254,78.91,upland,88.4,12.5
WO_155,WO,1,2017-09-12,2017,255,27.88,lowland,32.4,17.7
WO_156,WO,1,2017-09-12,2017,255,32.44,lowland,27.5,10.9
WO_158,WO,1,2017-09-17,2017,260,29.76,upland,21.3,11.3
WO_159,WO,1,2017-09-15,2017,258,1224.52,upland,7.7,2.7
WO_16,WO,1,2017-06-25,2017,176,207.28,lowland,2.3,1.9
WO_160,WO,1,2017-09-15,2017,258,33.19,upland,82.3,34.6
WO_161,WO,1,2017-09-20,2017,263,7.67,upland,65.6,38.9
WO_162,WO,1,2017-09-21,2017,264,10.25,upland,40.4,16.4
WO_163,WO,1,2017-09-24,2017,267,39.47,upland,72.4,20
WO_164,WO,1,2017-09-24,2017,267,102.63,upland,72.5,14.2
WO_165,WO,1,2017-09-25,2017,268,291.14,upland,58.7,22
WO_166,WO,1,2017-09-25,2017,268,131.58,upland,63.4,24.9
WO_167,WO,1,2017-09-25,2017,268,102.01,upland,3.2,1.7
WO_168,WO,1,2017-09-28,2017,271,45.63,upland,49.5,21.2
WO_169,WO,1,2017-09-26,2017,269,60,upland,29.2,19.5
WO_17,WO,1,2017-06-25,2017,176,167.54,upland,29.5,7.3
WO_170,WO,1,2017-09-26,2017,269,94.34,upland,41.5,23.7
WO_171,WO,1,2017-09-27,2017,270,37.42,upland,37.7,10.7
WO_172,WO,1,2017-09-29,2017,272,38.93,upland,48.5,18.3
WO_173,WO,1,2017-09-30,2017,273,67.27,upland,46,21.4
WO_174,WO,1,2017-10-03,2017,276,87.84,upland,73.3,13.9
WO_175,WO,1,2017-10-04,2017,277,49.58,upland,53.7,17.2
WO_176,WO,1,2017-10-04,2017,277,42.42,lowland,53.2,15.3
WO_177,WO,1,2017-10-05,2017,278,193.92,lowland,50,15.3
WO_178,WO,1,2017-10-05,2017,278,92.89,upland,34.8,4
WO_179,WO,1,2017-10-10,2017,283,84.54,upland,58.7,41.2
WO_18,WO,1,2017-06-25,2017,176,68.92,upland,70.5,10.3
WO_180,WO,1,2017-10-10,2017,283,16.55,lowland,42,15.6
WO_181,WO,1,2018-06-19,2018,170,35.94,upland,78.7,22.9
WO_182,WO,1,2018-06-19,2018,170,109.78,upland,75.9,33.6
WO_183,WO,1,2018-06-20,2018,171,643.77,upland,12.4,3.6
WO_184,WO,1,2018-06-20,2018,171,211.68,upland,95.3,27.9
WO_185,WO,1,2018-06-20,2018,171,5.33,upland,78,24.4
WO_186,WO,1,2018-06-21,2018,172,176.84,lowland,0,0
WO_187,WO,1,2018-06-21,2018,172,282.86,upland,5.3,0.6
WO_188,WO,1,2018-06-21,2018,172,6.92,lowland,62.9,20.8
WO_189,WO,1,2018-06-22,2018,173,152.95,upland,20.1,5
WO_19,WO,1,2017-06-26,2017,177,100.17,upland,56,19.8
WO_190,WO,1,2018-06-22,2018,173,3.08,upland,79.2,27.9
WO_191,WO,1,2018-06-22,2018,173,109.43,lowland,24.7,11.3
WO_192,WO,1,2018-06-22,2018,173,4.02,upland,76.3,30.9
WO_193,WO,1,2018-06-23,2018,174,536.78,upland,12.5,1
WO_194,WO,1,2018-06-26,2018,177,251.28,upland,11.7,3.1
WO_195,WO,1,2018-06-26,2018,177,154.09,upland,73.5,11.6
WO_196,WO,1,2018-06-26,2018,177,55.92,upland,48,22.5
WO_197,WO,1,2018-06-27,2018,178,845.6,upland,0,0
WO_198,WO,1,2018-06-27,2018,178,122.11,upland,76.5,29.4
WO_199,WO,1,2018-06-27,2018,178,90.85,upland,78.3,24.4
WO_2,WO,1,2017-06-15,2017,166,92.88,upland,25.6,9.7
