Site,SA,SA_binary,date,year,Julian_day,shrub_biomass,drainage_class,canopy_cover,basal_area
WO_20,WO,1,2017-06-30,2017,181,625.27,upland,65.1,9.7
WO_200,WO,1,2018-06-28,2018,179,442.67,upland,0,0
WO_201,WO,1,2018-06-28,2018,179,78.35,upland,88.7,30.5
WO_202,WO,1,2018-06-28,2018,179,165.77,upland,72.8,23.8
WO_203,WO,1,2018-06-28,2018,179,90.83,upland,55.7,21.4
WO_204,WO,1,2018-06-29,2018,180,639.09,upland,21.1,4.8
WO_205,WO,1,2018-06-29,2018,180,241.75,upland,36,15.8
WO_206,WO,1,2018-06-29,2018,180,390.59,upland,0,0
WO_207,WO,1,2018-06-29,2018,180,90.84,upland,40.5,19.5
WO_208,WO,1,2018-06-30,2018,181,279.18,lowland,0,0.6
WO_209,WO,1,2018-06-30,2018,181,189.6,upland,43.6,24.8
WO_21,WO,1,2017-06-30,2017,181,59,upland,86.4,66.4
WO_210,WO,1,2018-07-03,2018,184,119.67,upland,66.4,40.5
WO_211,WO,1,2018-07-03,2018,184,407.68,upland,0,0.8
WO_212,WO,1,2018-07-03,2018,184,26.59,upland,42.7,13.4
WO_213,WO,1,2018-07-04,2018,185,179.38,upland,0,0
WO_214,WO,1,2018-07-04,2018,185,22.75,upland,59.1,30.9
WO_215,WO,1,2018-07-05,2018,186,1024.18,upland,0,0
WO_216,WO,1,2018-07-05,2018,186,344.04,upland,81.5,25
WO_218,WO,1,2018-07-06,2018,187,33.26,upland,30,24.8
WO_219,WO,1,2018-07-06,2018,187,165.09,lowland,54.4,21.4
WO_22,WO,1,2017-06-30,2017,181,113.52,upland,70.1,41.2
WO_220,WO,1,2018-07-06,2018,187,412.2,lowland,0,0
WO_221,WO,1,2018-07-08,2018,189,554.95,upland,0,0.4
WO_222,WO,1,2018-07-08,2018,189,27.53,upland,49.7,26.3
WO_223,WO,1,2018-07-08,2018,189,34.25,upland,63.7,34
WO_224,WO,1,2018-07-09,2018,190,323.83,upland,0,0.4
WO_225,WO,1,2018-07-09,2018,190,244.37,upland,43.6,25.2
WO_226,WO,1,2018-07-09,2018,190,402.58,upland,29.3,12.6
WO_227,WO,1,2018-07-10,2018,191,414.13,lowland,3.6,1.1
WO_228,WO,1,2018-07-10,2018,191,100.67,lowland,31.6,25.6
WO_229,WO,1,2018-07-10,2018,191,694.11,upland,18.1,5.3
WO_23,WO,1,2017-07-01,2017,182,1014.54,upland,32.4,2.5
WO_230,WO,1,2018-07-11,2018,192,87.33,upland,47.7,35.9
WO_231,WO,1,2018-07-15,2018,196,247.68,upland,50.8,25.6
WO_232,WO,1,2018-07-16,2018,197,140.1,lowland,7.2,7.1
WO_233,WO,1,2018-07-15,2018,196,1007.05,upland,0,0
WO_234,WO,1,2018-07-16,2018,197,39.86,upland,61.5,28.6
WO_235,WO,1,2018-07-16,2018,197,62.19,upland,63.6,30.9
WO_236,WO,1,2018-07-16,2018,197,156.85,upland,63.2,28.2
WO_237,WO,1,2018-07-17,2018,198,776.42,upland,0,0.4
WO_238,WO,1,2018-07-17,2018,198,18.89,upland,62,9.7
WO_239,WO,1,2018-07-17,2018,198,0.92,upland,72.5,57.3
WO_24,WO,1,2017-07-01,2017,182,253.83,lowland,0,0
WO_240,WO,1,2018-07-22,2018,203,198.27,upland,53.9,9.2
WO_241,WO,1,2018-07-22,2018,203,570.08,upland,0,0
WO_242,WO,1,2018-07-23,2018,204,175.33,upland,7.9,2.1
WO_243,WO,1,2018-07-23,2018,204,466.75,upland,27.9,9.9
WO_244,WO,1,2018-07-23,2018,204,33.51,lowland,36,20.6
WO_246,WO,1,2018-07-24,2018,205,440.75,lowland,0,0.4
WO_247,WO,1,2018-07-24,2018,205,86.85,upland,52,17.9
WO_248,WO,1,2018-07-24,2018,205,56.5,upland,37.7,11.5
WO_249,WO,1,2018-07-24,2018,205,49.17,lowland,11.3,5.2
WO_250,WO,1,2018-07-24,2018,205,167.67,upland,76,24.4
WO_251,WO,1,2018-07-25,2018,206,212.93,upland,34.3,11.8
WO_252,WO,1,2018-07-25,2018,206,973.62,lowland,0,0
WO_254,WO,1,2018-07-26,2018,207,58.37,upland,97.2,26.3
WO_255,WO,1,2018-07-26,2018,207,248.53,upland,58.4,18.7
WO_256,WO,1,2018-07-29,2018,210,148.34,upland,65.2,18.3
WO_257,WO,1,2018-07-29,2018,210,41.17,upland,58.3,16.8
WO_258,WO,1,2018-07-29,2018,210,60.68,upland,60.9,34.4
WO_259,WO,1,2018-07-30,2018,211,1286.27,lowland,0,0
WO_26,WO,1,2017-07-02,2017,183,82.51,upland,71.3,29.8
WO_260,WO,1,2018-07-30,2018,211,208.75,upland,0,0
WO_261,WO,1,2018-07-30,2018,211,308.03,upland,83.2,12.8
WO_262,WO,1,2018-07-30,2018,211,200.34,upland,75.5,27.9
WO_263,WO,1,2018-07-30,2018,211,5.57,lowland,66.3,31.5
WO_264,WO,1,2018-07-31,2018,212,265.25,lowland,0,0
WO_265,WO,1,2018-08-01,2018,213,98.89,upland,67.9,15.6
WO_266,WO,1,2018-08-01,2018,213,233.5,upland,52.1,27.2
WO_267,WO,1,2018-08-02,2018,214,321.14,upland,65,32.1
WO_268,WO,1,2018-08-02,2018,214,199.09,upland,88.3,27.8
WO_269,WO,1,2018-08-03,2018,215,648.44,lowland,0,0.3
WO_27,WO,1,2017-07-02,2017,183,26.84,upland,88,20.2
WO_270,WO,1,2018-08-03,2018,215,87.19,upland,47.9,18.9
WO_271,WO,1,2018-08-06,2018,218,152.39,upland,37.7,10.7
WO_272,WO,1,2018-08-06,2018,218,179.26,upland,48.5,18.3
WO_273,WO,1,2018-08-07,2018,219,415.65,upland,76.7,22.3
WO_274,WO,1,2018-08-07,2018,219,262.3,upland,85.4,21.5
WO_275,WO,1,2018-08-08,2018,220,44.51,lowland,46.7,30.3
WO_276,WO,1,2018-08-08,2018,220,226.4,upland,38.3,32.6
WO_277,WO,1,2018-08-09,2018,221,89.93,upland,65.6,11.1
WO_278,WO,1,2018-08-10,2018,222,598.96,upland,0.8,0.7
WO_279,WO,1,2018-08-10,2018,222,867.01,upland,5.2,1.5
WO_28,WO,1,2017-07-02,2017,183,251.03,lowland,46.4,7.6
WO_280,WO,1,2018-08-13,2018,225,216.52,upland,50.3,21.4
WO_281,WO,1,2018-08-13,2018,225,351.6,upland,40.1,14.7
WO_282,WO,1,2018-08-14,2018,226,381.02,upland,0,0
WO_283,WO,1,2018-08-14,2018,226,92.77,upland,58,22.5
WO_284,WO,1,2018-08-15,2018,227,61.09,upland,33.5,13.9
WO_285,WO,1,2018-08-15,2018,227,168.3,lowland,6.5,10.9
WO_286,WO,1,2018-08-18,2018,230,214.02,upland,41.7,26
WO_287,WO,1,2018-08-19,2018,231,186.85,upland,64.3,12.6
WO_288,WO,1,2018-08-20,2018,232,166.01,upland,63.2,14.1
WO_289,WO,1,2018-08-24,2018,236,198.87,upland,57.2,28.2
WO_29,WO,1,2017-07-03,2017,184,28.19,upland,84.4,25.6
WO_290,WO,1,2018-08-24,2018,236,159,upland,43.6,19.8
WO_291,WO,1,2018-08-24,2018,236,215.18,upland,43.7,24.8
WO_293,WO,1,2018-08-25,2018,237,680.9,lowland,0,0
WO_294,WO,1,2018-08-26,2018,238,169.89,upland,68.4,22.6
WO_295,WO,1,2018-08-26,2018,238,247.64,upland,64.6,26.9
WO_296,WO,1,2018-08-27,2018,239,55.85,upland,51.6,48.9
WO_297,WO,1,2018-08-28,2018,240,202.89,lowland,1.3,0.9
WO_298,WO,1,2018-09-02,2018,245,140.78,lowland,3.8,2.6
WO_299,WO,1,2018-09-02,2018,245,60.89,upland,69.7,30.3
WO_3,WO,1,2017-06-18,2017,169,23.17,upland,55.9,36.6
WO_30,WO,1,2017-07-03,2017,184,84,lowland,30.9,28.2
WO_300,WO,1,2018-09-03,2018,246,1047.77,upland,4.9,0.3
WO_301,WO,1,2018-09-03,2018,246,143.34,upland,74.2,20.6
WO_302,WO,1,2018-09-03,2018,246,151.26,upland,87.9,24.9
WO_303,WO,1,2018-09-04,2018,247,155.57,upland,68.9,20.6
WO_304,WO,1,2018-09-04,2018,247,19.57,lowland,47.9,36.6
WO_305,WO,1,2018-09-05,2018,248,20.69,lowland,46.7,20.9
WO_306,WO,1,2018-09-05,2018,248,95.94,upland,82,35.8
WO_307,WO,1,2018-09-10,2018,253,102.28,upland,72.9,24.9
WO_308,WO,1,2018-09-06,2018,249,773.94,upland,0,0
WO_309,WO,1,2018-09-06,2018,249,228.09,upland,88.3,17.6
WO_31,WO,1,2017-07-03,2017,184,112.64,upland,55.1,15.6
WO_310,WO,1,2018-09-07,2018,250,583.1,upland,0,0
WO_311,WO,1,2018-09-07,2018,250,137.01,upland,63.3,21.8
WO_312,WO,1,2018-09-08,2018,251,726.72,lowland,0,1.3
WO_313,WO,1,2018-09-08,2018,251,73.09,upland,77.3,21.8
WO_315,WO,1,2018-09-09,2018,252,372.19,upland,28.4,4.4
WO_316,WO,1,2018-09-09,2018,252,135,upland,74.4,18.7
WO_317,WO,1,2018-09-11,2018,254,28.1,upland,84.5,27.1
WO_318,WO,1,2018-09-12,2018,255,24.67,upland,58,51.1
WO_319,WO,1,2018-09-12,2018,255,0.34,upland,61.7,26.3
WO_32,WO,1,2017-07-04,2017,185,2.08,upland,56.9,58.8
WO_320,WO,1,2018-09-12,2018,255,47.67,lowland,42.4,39.7
WO_321,WO,1,2018-09-13,2018,256,142.04,upland,48.5,13.4
WO_322,WO,1,2018-09-15,2018,258,82.91,upland,74.5,30.4
WO_323,WO,1,2018-09-15,2018,258,137.94,upland,53.4,30.3
WO_324,WO,1,2018-09-16,2018,259,290.32,upland,75.5,21.2
WO_325,WO,1,2018-09-17,2018,260,151.57,upland,58.8,26.6
WO_326,WO,1,2018-09-16,2018,259,259.45,upland,76.7,23.5
WO_327,WO,1,2018-09-17,2018,260,252.96,upland,56.9,25.8
WO_328,WO,1,2018-09-17,2018,260,189.86,upland,69.2,30.1
WO_329,WO,1,2018-09-23,2018,266,59.44,upland,57.7,18.6
WO_33,WO,1,2017-07-04,2017,185,88.43,upland,37.6,29
WO_330,WO,1,2018-09-19,2018,262,25.95,upland,59,35.5
WO_331,WO,1,2018-09-19,2018,262,26.64,upland,50.8,34.4
WO_332,WO,1,2018-09-19,2018,262,32.01,upland,71.8,17.2
WO_333,WO,1,2018-09-19,2018,262,97.01,upland,64.9,32.1
WO_334,WO,1,2018-09-21,2018,264,130.93,upland,47.6,32.4
WO_335,WO,1,2018-09-21,2018,264,361.89,lowland,0,0
WO_336,WO,1,2018-09-25,2018,268,109.01,upland,68.5,30.9
WO_338,WO,1,2018-09-26,2018,269,151.26,upland,50.7,12.8
WO_339,WO,1,2018-09-26,2018,269,330.75,upland,10.8,3.4
WO_34,WO,1,2017-07-04,2017,185,140.45,upland,29.6,13.7
WO_340,WO,1,2018-09-29,2018,272,195.1,lowland,6,2.8
WO_341,WO,1,2018-09-30,2018,273,170.51,lowland,26.5,3.7
WO_342,WO,1,2018-10-01,2018,274,32.17,lowland,8.1,4.8
WO_343,WO,1,2018-10-01,2018,274,3.36,lowland,74.5,30.5
WO_344,WO,1,2018-10-02,2018,275,446.21,upland,64.4,5.5
WO_35,WO,1,2017-07-05,2017,186,88.67,upland,87.3,20.6
WO_36,WO,1,2017-07-05,2017,186,16.8,lowland,56.4,37
WO_37,WO,1,2017-07-05,2017,186,321.36,upland,86.7,25.6
WO_38,WO,1,2017-07-07,2017,188,44.42,upland,76.1,19.1
WO_39,WO,1,2017-07-07,2017,188,538.46,upland,40,10.7
WO_4,WO,1,2017-06-18,2017,169,235.77,upland,3.6,1.9
WO_40,WO,1,2017-07-08,2017,189,136.85,lowland,72,46.9
WO_41,WO,1,2017-07-08,2017,189,76.26,upland,55.6,27.1
WO_42,WO,1,2017-07-08,2017,189,110.5,lowland,28.5,19.8
WO_43,WO,1,2017-07-08,2017,189,21.59,upland,60.4,25.2
WO_44,WO,1,2017-07-09,2017,190,468.59,upland,4.9,0
WO_45,WO,1,2017-07-09,2017,190,142.02,lowland,40.8,21.8
WO_46,WO,1,2017-07-09,2017,190,5.78,upland,63.1,26.7
WO_47,WO,1,2017-07-10,2017,191,165.85,upland,72.4,23.7
WO_48,WO,1,2017-07-10,2017,191,132.59,upland,0.5,0.4
WO_49,WO,1,2017-07-10,2017,191,14.08,upland,48.5,37.4
WO_5,WO,1,2017-06-21,2017,172,150.68,lowland,0,0
WO_50,WO,1,2017-07-10,2017,191,115.33,upland,78.5,45.8
WO_51,WO,1,2017-07-11,2017,192,487.42,upland,0,0
WO_52,WO,1,2017-07-11,2017,192,183.67,lowland,0.5,1.1
WO_53,WO,1,2017-07-17,2017,198,363.86,upland,61.9,26
WO_54,WO,1,2017-07-17,2017,198,4.28,lowland,89.9,29.8
WO_55,WO,1,2017-07-18,2017,199,274.77,lowland,0,0
WO_56,WO,1,2017-07-18,2017,199,720.11,upland,0,0
WO_57,WO,1,2017-07-18,2017,199,19.84,upland,67.2,24.8
WO_59,WO,1,2017-07-21,2017,202,300.33,lowland,0,0
WO_6,WO,1,2017-06-21,2017,172,25.01,upland,28.7,18.7
WO_60,WO,1,2017-07-21,2017,202,261.52,upland,0,0
WO_61,WO,1,2017-07-22,2017,203,119.7,upland,0,0
WO_62,WO,1,2017-07-22,2017,203,135.68,upland,0,0
WO_63,WO,1,2017-07-22,2017,203,137.11,lowland,0,0
WO_65,WO,1,2017-07-22,2017,203,312.6,lowland,16.9,12
WO_66,WO,1,2017-07-22,2017,203,16.68,upland,75.2,32.8
WO_67,WO,1,2017-07-23,2017,204,294.83,lowland,0,0
WO_68,WO,1,2017-07-23,2017,204,306.01,upland,66.8,19.8
WO_69,WO,1,2017-07-23,2017,204,92.83,lowland,12,9.9
WO_7,WO,1,2017-06-22,2017,173,358.17,upland,6.7,1
WO_70,WO,1,2017-07-23,2017,204,141.35,upland,10.3,5.3
WO_71,WO,1,2017-07-24,2017,205,28.76,upland,54.4,28.6
WO_72,WO,1,2017-07-24,2017,205,253.17,upland,3.3,6.9
WO_73,WO,1,2017-07-24,2017,205,189.58,upland,49.5,16.4
WO_74,WO,1,2017-07-24,2017,205,0.42,upland,54.9,34
WO_75,WO,1,2017-07-24,2017,205,80.5,lowland,21.1,17.9
WO_76,WO,1,2017-07-25,2017,206,65.25,upland,38.4,17.2
WO_77,WO,1,2017-07-25,2017,206,18.34,upland,55.5,33.6
WO_78,WO,1,2017-07-25,2017,206,616.75,upland,0.3,1.1
WO_79,WO,1,2017-07-28,2017,209,61.5,upland,23.6,30.2
WO_8,WO,1,2017-06-22,2017,173,6.44,lowland,58.1,27.5
WO_80,WO,1,2017-07-28,2017,209,305.09,upland,78.4,12.2
WO_81,WO,1,2017-07-29,2017,210,120.92,upland,50.8,43.5
WO_82,WO,1,2017-07-29,2017,210,224.85,upland,75.3,21.4
WO_83,WO,1,2017-07-29,2017,210,49.17,lowland,15.5,11.1
WO_84,WO,1,2017-07-29,2017,210,10.92,upland,50.7,61.1
WO_85,WO,1,2017-07-29,2017,210,26.04,lowland,59.1,28.6
WO_86,WO,1,2017-07-30,2017,211,108.26,lowland,27.7,17.6
WO_87,WO,1,2017-07-30,2017,211,12.33,upland,53.1,16.4
WO_88,WO,1,2017-07-30,2017,211,120.18,upland,37.6,27.5
WO_9,WO,1,2017-06-22,2017,173,16.77,upland,19.6,10.7
WO_90,WO,1,2017-07-31,2017,212,96.42,lowland,4.8,8.8
WO_91,WO,1,2017-07-31,2017,212,10.77,upland,59.9,45.8
WO_92,WO,1,2017-07-31,2017,212,154.93,lowland,0,0
WO_93,WO,1,2017-08-01,2017,213,9.58,lowland,54.8,18.8
WO_94,WO,1,2017-08-01,2017,213,3.42,upland,75.3,32.1
WO_95,WO,1,2017-08-04,2017,216,198.93,lowland,0,0
WO_96,WO,1,2017-08-04,2017,216,53.27,upland,42.4,9
WO_97,WO,1,2017-08-04,2017,216,5.75,lowland,67.6,25.2
WO_98,WO,1,2017-08-05,2017,217,573.2,upland,52,3.2
WO_99,WO,1,2017-08-05,2017,217,431.01,upland,49.1,8.4